t (s)	y (m)
7,14	5,906408
7,16	5,918688
7,18	5,930952
7,2	5,9432
7,22	5,955432
7,24	5,967648
7,26	5,979848
7,28	5,992032
7,3	6,0042
7,32	6,016352
7,34	6,028488
7,36	6,040608
7,38	6,052712
7,4	6,0648
7,42	6,076872
7,44	6,088928
7,46	6,100968
7,48	6,112992
7,5	6,125
7,52	6,136992
7,54	6,148968
7,56	6,160928
7,58	6,172872
7,6	6,1848
7,62	6,196712
7,64	6,208608
7,66	6,220488
7,68	6,232352
7,7	6,2442
7,72	6,256032
7,74	6,267848
7,76	6,279648
7,78	6,291432
7,8	6,3032
7,82	6,314952
7,84	6,326688
7,86	6,338408
7,88	6,350112
7,9	6,3618
7,92	6,373472
7,94	6,385128
7,96	6,396768
7,98	6,408392
8	6,42
8,02	6,431592
8,04	6,443168
8,06	6,454728
8,08	6,466272
8,1	6,4778
8,12	6,489312
8,14	6,500808
8,16	6,512288
8,18	6,523752
8,2	6,5352
8,22	6,546632
8,24	6,558048
8,26	6,569448
8,28	6,580832
8,3	6,5922
8,32	6,603552
8,34	6,614888
8,36	6,626208
8,38	6,637512
8,4	6,6488
8,42	6,660072
8,44	6,671328
8,46	6,682568
8,48	6,693792
8,5	6,705
8,52	6,716192
8,54	6,727368
8,56	6,738528
8,58	6,749672
8,6	6,7608
8,62	6,771912
8,64	6,783008
8,66	6,794088
8,68	6,805152
8,7	6,8162
8,72	6,827232
8,74	6,838248
8,76	6,849248
8,78	6,860232
8,8	6,8712
8,82	6,882152
8,84	6,893088
8,86	6,904008
8,88	6,914912
8,9	6,9258
8,92	6,936672
8,94	6,947528
8,96	6,958368
8,98	6,969192
9	6,98
9,02	6,990792
9,04	7,001568
9,06	7,012328
9,08	7,023072
9,1	7,0338
9,12	7,044512
9,14	7,055208
9,16	7,065888
9,18	7,076552
9,2	7,0872
9,22	7,097832
9,24	7,108448
9,26	7,119048
9,28	7,129632
9,3	7,1402
9,32	7,150752
9,34	7,161288
9,36	7,171808
9,38	7,182312
9,4	7,1928
9,42	7,203272
9,44	7,213728
9,46	7,224168
9,48	7,234592
9,5	7,245
9,52	7,255392
9,54	7,265768
9,56	7,276128
9,58	7,286472
9,6	7,2968
9,62	7,307112
9,64	7,317408
9,66	7,327688
9,68	7,337952
9,7	7,3482
9,72	7,358432
9,74	7,368648
9,76	7,378848
9,78	7,389032
9,8	7,3992
9,82	7,409352
9,84	7,419488
9,86	7,429608
9,88	7,439712
9,9	7,4498
9,92	7,459872
9,94	7,469928
9,96	7,479968
9,98	7,489992
10	7,5
10,02	7,509992
10,04	7,519968
10,06	7,529928
10,08	7,539872
10,1	7,5498
10,12	7,559712
10,14	7,569608
10,16	7,579488
10,18	7,589352
10,2	7,5992
10,22	7,609032
10,24	7,618848
10,26	7,628648
10,28	7,638432
10,3	7,6482
10,32	7,657952
10,34	7,667688
10,36	7,677408
10,38	7,687112
10,4	7,6968
10,42	7,706472
10,44	7,716128
10,46	7,725768
10,48	7,735392
10,5	7,745
10,52	7,754592
10,54	7,764168
10,56	7,773728
10,58	7,783272
10,6	7,7928
10,62	7,802312
10,64	7,811808
10,66	7,821288
10,68	7,830752
10,7	7,8402
10,72	7,849632
10,74	7,859048
10,76	7,868448
10,78	7,877832
10,8	7,8872
10,82	7,896552
10,84	7,905888
10,86	7,915208
10,88	7,924512
10,9	7,9338
10,92	7,943072
10,94	7,952328
10,96	7,961568
10,98	7,970792
11	7,98
11,02	7,989192
11,04	7,998368
11,06	8,007528
11,08	8,016672
11,1	8,0258
11,12	8,034912
11,14	8,044008
11,16	8,053088
11,18	8,062152
11,2	8,0712
11,22	8,080232
11,24	8,089248
11,26	8,098248
11,28	8,107232
11,3	8,1162
11,32	8,125152
11,34	8,134088
11,36	8,143008
11,38	8,151912
11,4	8,1608
11,42	8,169672
11,44	8,178528
11,46	8,187368
11,48	8,196192
11,5	8,205
11,52	8,213792
11,54	8,222568
11,56	8,231328
11,58	8,240072
11,6	8,2488
11,62	8,257512
11,64	8,266208
11,66	8,274888
11,68	8,283552
11,7	8,2922
11,72	8,300832
11,74	8,309448
11,76	8,318048
11,78	8,326632
11,8	8,3352
11,82	8,343752
11,84	8,352288
11,86	8,360808
11,88	8,369312
11,9	8,3778
11,92	8,386272
11,94	8,394728
11,96	8,403168
11,98	8,411592
12	8,42
