t (s)	x (m)
5,72	4,79574624
5,74	4,81559612
5,76	4,83551488
5,78	4,85550276
5,8	4,87556
5,82	4,89568684
5,84	4,91588352
5,86	4,93615028
5,88	4,95648736
5,9	4,976895
5,92	4,99737344
5,94	5,01792292
5,96	5,03854368
5,98	5,05923596
6	5,08
6,02	5,10083604
6,04	5,12174432
6,06	5,14272508
6,08	5,16377856
6,1	5,184905
6,12	5,20610464
6,14	5,22737772
6,16	5,24872448
6,18	5,27014516
6,2	5,29164
6,22	5,31320924
6,24	5,33485312
6,26	5,35657188
6,28	5,37836576
6,3	5,400235
6,32	5,42217984
6,34	5,44420052
6,36	5,46629728
6,38	5,48847036
6,4	5,51072
6,42	5,53304644
6,44	5,55544992
6,46	5,57793068
6,48	5,60048896
6,5	5,623125
6,52	5,64583904
6,54	5,66863132
6,56	5,69150208
6,58	5,71445156
6,6	5,73748
6,62	5,76058764
6,64	5,78377472
6,66	5,80704148
6,68	5,83038816
6,7	5,853815
6,72	5,87732224
6,74	5,90091012
6,76	5,92457888
6,78	5,94832876
6,8	5,97216
6,82	5,99607284
6,84	6,02006752
6,86	6,04414428
6,88	6,06830336
6,9	6,092545
6,92	6,11686944
6,94	6,14127692
6,96	6,16576768
6,98	6,19034196
7	6,215
7,02	6,23974204
7,04	6,26456832
7,06	6,28947908
7,08	6,31447456
7,1	6,339555
7,12	6,36472064
7,14	6,38997172
7,16	6,41530848
7,18	6,44073116
7,2	6,46624
7,22	6,49183524
7,24	6,51751712
7,26	6,54328588
7,28	6,56914176
7,3	6,595085
7,32	6,62111584
7,34	6,64723452
7,36	6,67344128
7,38	6,69973636
7,4	6,72612
7,42	6,75259244
7,44	6,77915392
7,46	6,80580468
7,48	6,83254496
7,5	6,859375
7,52	6,88629504
7,54	6,91330532
7,56	6,94040608
7,58	6,96759756
7,6	6,99488
7,62	7,02225364
7,64	7,04971872
7,66	7,07727548
7,68	7,10492416
7,7	7,132665
7,72	7,16049824
7,74	7,18842412
7,76	7,21644288
7,78	7,24455476
7,8	7,27276
7,82	7,30105884
7,84	7,32945152
7,86	7,35793828
7,88	7,38651936
7,9	7,415195
7,92	7,44396544
7,94	7,47283092
7,96	7,50179168
7,98	7,53084796
8	7,56
8,02	7,58924804
8,04	7,61859232
8,06	7,64803308
8,08	7,67757056
8,1	7,707205
8,12	7,73693664
8,14	7,76676572
8,16	7,79669248
8,18	7,82671716
8,2	7,85684
8,22	7,88706124
8,24	7,91738112
8,26	7,94779988
8,28	7,97831776
8,3	8,008935
8,32	8,03965184
8,34	8,07046852
8,36	8,10138528
8,38	8,13240236
8,4	8,16352
8,42	8,19473844
8,44	8,22605792
8,46	8,25747868
8,48	8,28900096
8,5	8,320625
8,52	8,35235104
8,54	8,38417932
8,56	8,41611008
8,58	8,44814356
8,6	8,48028
8,62	8,51251964
8,64	8,54486272
8,66	8,57730948
8,68	8,60986016
8,7	8,642515
8,72	8,67527424
8,74	8,70813812
8,76	8,74110688
8,78	8,77418076
8,8	8,80736
8,82	8,84064484
8,84	8,87403552
8,86	8,90753228
8,88	8,94113536
8,9	8,974845
8,92	9,00866144
8,94	9,04258492
8,96	9,07661568
8,98	9,11075396
9	9,145
9,02	9,17935404
9,04	9,21381632
9,06	9,24838708
9,08	9,28306656
9,1	9,317855
9,12	9,35275264
9,14	9,38775972
9,16	9,42287648
9,18	9,45810316
9,2	9,49344
9,22	9,52888724
9,24	9,56444512
9,26	9,60011388
9,28	9,63589376
9,3	9,671785
9,32	9,70778784
9,34	9,74390252
9,36	9,78012928
9,38	9,81646836
9,4	9,85292
9,42	9,88948444
9,44	9,92616192
9,46	9,96295268
9,48	9,99985696
9,5	10,036875
9,52	10,07400704
9,54	10,11125332
9,56	10,14861408
9,58	10,18608956
9,6	10,22368
9,62	10,26138564
9,64	10,29920672
9,66	10,33714348
9,68	10,37519616
9,7	10,413365
9,72	10,45165024
9,74	10,49005212
9,76	10,52857088
9,78	10,56720676
9,8	10,60596
9,82	10,64483084
9,84	10,68381952
9,86	10,72292628
9,88	10,76215136
9,9	10,801495
9,92	10,84095744
9,94	10,88053892
9,96	10,92023968
9,98	10,96005996
10	11
10,02	11,04006004
10,04	11,08024032
10,06	11,12054108
10,08	11,16096256
10,1	11,201505
10,12	11,24216864
10,14	11,28295372
10,16	11,32386048
10,18	11,36488916
10,2	11,40604
10,22	11,44731324
10,24	11,48870912
10,26	11,53022788
10,28	11,57186976
10,3	11,613635
10,32	11,65552384
10,34	11,69753652
10,36	11,73967328
10,38	11,78193436
10,4	11,82432
10,42	11,86683044
10,44	11,90946592
10,46	11,95222668
10,48	11,99511296
10,5	12,038125
10,52	12,08126304
10,54	12,12452732
10,56	12,16791808
10,58	12,21143556
10,6	12,25508
10,62	12,29885164
10,64	12,34275072
10,66	12,38677748
10,68	12,43093216
10,7	12,475215
10,72	12,51962624
10,74	12,56416612
10,76	12,60883488
10,78	12,65363276
10,8	12,69856
10,82	12,74361684
10,84	12,78880352
10,86	12,83412028
10,88	12,87956736
10,9	12,925145
10,92	12,97085344
10,94	13,01669292
10,96	13,06266368
10,98	13,10876596
11	13,155
11,02	13,20136604
11,04	13,24786432
11,06	13,29449508
11,08	13,34125856
11,1	13,388155
11,12	13,43518464
11,14	13,48234772
11,16	13,52964448
11,18	13,57707516
11,2	13,62464
11,22	13,67233924
11,24	13,72017312
11,26	13,76814188
11,28	13,81624576
11,3	13,864485
11,32	13,91285984
11,34	13,96137052
11,36	14,01001728
11,38	14,05880036
11,4	14,10772
11,42	14,15677644
11,44	14,20596992
11,46	14,25530068
11,48	14,30476896
11,5	14,354375
11,52	14,40411904
11,54	14,45400132
11,56	14,50402208
11,58	14,55418156
11,6	14,60448
11,62	14,65491764
11,64	14,70549472
11,66	14,75621148
11,68	14,80706816
11,7	14,858065
11,72	14,90920224
11,74	14,96048012
11,76	15,01189888
11,78	15,06345876
11,8	15,11516
11,82	15,16700284
11,84	15,21898752
11,86	15,27111428
11,88	15,32338336
11,9	15,375795
11,92	15,42834944
11,94	15,48104692
11,96	15,53388768
11,98	15,58687196
12	15,64
12,02	15,69327204
12,04	15,74668832
12,06	15,80024908
12,08	15,85395456
12,1	15,907805
12,12	15,96180064
12,14	16,01594172
12,16	16,07022848
12,18	16,12466116
12,2	16,17924
12,22	16,23396524
12,24	16,28883712
12,26	16,34385588
12,28	16,39902176
12,3	16,454335
12,32	16,50979584
12,34	16,56540452
12,36	16,62116128
12,38	16,67706636
12,4	16,73312
12,42	16,78932244
12,44	16,84567392
12,46	16,90217468
12,48	16,95882496
12,5	17,015625
12,52	17,07257504
12,54	17,12967532
12,56	17,18692608
12,58	17,24432756
12,6	17,30188
12,62	17,35958364
12,64	17,41743872
12,66	17,47544548
12,68	17,53360416
12,7	17,591915
12,72	17,65037824
12,74	17,70899412
12,76	17,76776288
12,78	17,82668476
12,8	17,88576
12,82	17,94498884
12,84	18,00437152
12,86	18,06390828
12,88	18,12359936
12,9	18,183445
12,92	18,24344544
12,94	18,30360092
12,96	18,36391168
12,98	18,42437796
13	18,485
13,02	18,54577804
13,04	18,60671232
13,06	18,66780308
13,08	18,72905056
13,1	18,790455
13,12	18,85201664
13,14	18,91373572
13,16	18,97561248
13,18	19,03764716
13,2	19,09984
13,22	19,16219124
13,24	19,22470112
13,26	19,28736988
13,28	19,35019776
13,3	19,413185
13,32	19,47633184
13,34	19,53963852
13,36	19,60310528
13,38	19,66673236
13,4	19,73052
13,42	19,79446844
13,44	19,85857792
13,46	19,92284868
13,48	19,98728096
13,5	20,051875
13,52	20,11663104
13,54	20,18154932
13,56	20,24663008
13,58	20,31187356
13,6	20,37728
13,62	20,44284964
13,64	20,50858272
13,66	20,57447948
13,68	20,64054016
13,7	20,706765
13,72	20,77315424
13,74	20,83970812
13,76	20,90642688
13,78	20,97331076
13,8	21,04036
13,82	21,10757484
13,84	21,17495552
13,86	21,24250228
13,88	21,31021536
13,9	21,378095
13,92	21,44614144
13,94	21,51435492
13,96	21,58273568
13,98	21,65128396
14	21,72
14,02	21,78888404
14,04	21,85793632
14,06	21,92715708
14,08	21,99654656
14,1	22,066105
14,12	22,13583264
14,14	22,20572972
14,16	22,27579648
14,18	22,34603316
14,2	22,41644
14,22	22,48701724
14,24	22,55776512
14,26	22,62868388
14,28	22,69977376
14,3	22,771035
14,32	22,84246784
14,34	22,91407252
14,36	22,98584928
14,38	23,05779836
14,4	23,12992
14,42	23,20221444
14,44	23,27468192
14,46	23,34732268
14,48	23,42013696
14,5	23,493125
14,52	23,56628704
14,54	23,63962332
14,56	23,71313408
14,58	23,78681956
14,6	23,86068
14,62	23,93471564
14,64	24,00892672
14,66	24,08331348
14,68	24,15787616
14,7	24,232615
14,72	24,30753024
14,74	24,38262212
14,76	24,45789088
14,78	24,53333676
14,8	24,60896
14,82	24,68476084
14,84	24,76073952
14,86	24,83689628
14,88	24,91323136
14,9	24,989745
14,92	25,06643744
14,94	25,14330892
14,96	25,22035968
14,98	25,29758996
15	25,375
15,02	25,45259004
15,04	25,53036032
15,06	25,60831108
15,08	25,68644256
15,1	25,764755
15,12	25,84324864
15,14	25,92192372
15,16	26,00078048
15,18	26,07981916
15,2	26,15904
15,22	26,23844324
15,24	26,31802912
15,26	26,39779788
15,28	26,47774976
15,3	26,557885
15,32	26,63820384
15,34	26,71870652
15,36	26,79939328
15,38	26,88026436
15,4	26,96132
15,42	27,04256044
15,44	27,12398592
15,46	27,20559668
15,48	27,28739296
15,5	27,369375
15,52	27,45154304
15,54	27,53389732
15,56	27,61643808
15,58	27,69916556
15,6	27,78208
15,62	27,86518164
15,64	27,94847072
15,66	28,03194748
15,68	28,11561216
15,7	28,199465
15,72	28,28350624
15,74	28,36773612
15,76	28,45215488
15,78	28,53676276
15,8	28,62156
15,82	28,70654684
15,84	28,79172352
15,86	28,87709028
15,88	28,96264736
15,9	29,048395
15,92	29,13433344
15,94	29,22046292
15,96	29,30678368
15,98	29,39329596
16	29,48
16,02	29,56689604
16,04	29,65398432
16,06	29,74126508
16,08	29,82873856
16,1	29,916405
16,12	30,00426464
16,14	30,09231772
16,16	30,18056448
16,18	30,26900516
16,2	30,35764
16,22	30,44646924
16,24	30,53549312
16,26	30,62471188
16,28	30,71412576
16,3	30,803735
16,32	30,89353984
16,34	30,98354052
16,36	31,07373728
16,38	31,16413036
16,4	31,25472
16,42	31,34550644
16,44	31,43648992
16,46	31,52767068
16,48	31,61904896
16,5	31,710625
16,52	31,80239904
16,54	31,89437132
16,56	31,98654208
16,58	32,07891156
16,6	32,17148
16,62	32,26424764
16,64	32,35721472
16,66	32,45038148
16,68	32,54374816
16,7	32,637315
16,72	32,73108224
16,74	32,82505012
16,76	32,91921888
16,78	33,01358876
16,8	33,10816
16,82	33,20293284
16,84	33,29790752
16,86	33,39308428
16,88	33,48846336
16,9	33,584045
16,92	33,67982944
16,94	33,77581692
16,96	33,87200768
16,98	33,96840196
17	34,065
17,02	34,16180204
17,04	34,25880832
17,06	34,35601908
17,08	34,45343456
17,1	34,551055
17,12	34,64888064
17,14	34,74691172
17,16	34,84514848
17,18	34,94359116
17,2	35,04224
17,22	35,14109524
17,24	35,24015712
17,26	35,33942588
17,28	35,43890176
17,3	35,538585
17,32	35,63847584
17,34	35,73857452
17,36	35,83888128
17,38	35,93939636
17,4	36,04012
17,42	36,14105244
17,44	36,24219392
17,46	36,34354468
17,48	36,44510496
17,5	36,546875
17,52	36,64885504
17,54	36,75104532
17,56	36,85344608
17,58	36,95605756
17,6	37,05888
17,62	37,16191364
17,64	37,26515872
17,66	37,36861548
17,68	37,47228416
17,7	37,576165
17,72	37,68025824
17,74	37,78456412
17,76	37,88908288
17,78	37,99381476
17,8	38,09876
17,82	38,20391884
17,84	38,30929152
17,86	38,41487828
17,88	38,52067936
17,9	38,626695
17,92	38,73292544
17,94	38,83937092
17,96	38,94603168
17,98	39,05290796
18	39,16
18,02	39,26730804
18,04	39,37483232
18,06	39,48257308
18,08	39,59053056
18,1	39,698705
18,12	39,80709664
18,14	39,91570572
18,16	40,02453248
18,18	40,13357716
18,2	40,24284
18,22	40,35232124
18,24	40,46202112
18,26	40,57193988
18,28	40,68207776
18,3	40,792435
18,32	40,90301184
18,34	41,01380852
18,36	41,12482528
18,38	41,23606236
18,4	41,34752
18,42	41,45919844
18,44	41,57109792
18,46	41,68321868
